idGame,idTeam,idPlayer,MinutesPlayed,FieldGoals,FGAttempts,FGPerc,3PTSFG,3PFGAttempts,3PFGPerc,FreeThrows,FreeThrowsAttempts,FTPerc,OffRbds,DefRbds,TotalRbds,"Assists","Steals","Blocks","Turnovers",Fouls,Points,Punctuation
"1","Milwaukee Bucks","Bryn Forbes","14:05","2","5",".400","0","3",".000","1","1","1.000","0","1","1","0","0","0","0","0","5","+2"
"1","Milwaukee Bucks","Pat Connaughton","10:08","1","2",".500","0","1",".000","0","0","","2","2","4","1","0","0","1","1","2","-8"
"1","Milwaukee Bucks","Mamadi Diakite",Did Not Play,,,,,,,,,,,,,,,,,,,
"1","Milwaukee Bucks","Sam Merrill","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Milwaukee Bucks","Jordan Nwora","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Milwaukee Bucks","Elijah Bryant","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Milwaukee Bucks","Axel Toupane","Did Not Play",,,,,,,,,,,,,,,,,,,
"1","Milwaukee Bucks","Jeff Teague","Did Not Play",,,,,,,,,,,,,,,,,,,
"2","Dallas Mavericks","Luka Dončić","40:46","11","24",".458","5","11",".455","4","7",".571","1","9","10","11","1","2","3","3","31","+19"
"2","Dallas Mavericks","Dorian Finney-Smith","36:48","7","9",".778","4","5",".800","0","0","","0","5","5","2","1","0","2","5","18","+15"
"2","Dallas Mavericks","Maxi Kleber","36:01","1","3",".333","1","2",".500","3","4",".750","3","6","9","4","0","0","0","4","6","+9"
"2","Dallas Mavericks","Kristaps Porziņģis","35:48","4","13",".308","1","5",".200","5","6",".833","0","4","4","1","0","1","1","2","14","+13"
"2","Dallas Mavericks","Tim Hardaway Jr.","32:19","8","13",".615","5","9",".556","0","0","","2","2","4","1","0","0","3","2","21","+16"
"2","Dallas Mavericks","Jalen Brunson","20:37","4","7",".571","0","1",".000","7","8",".875","1","0","1","2","0","0","1","2","15","-9"
"2","Dallas Mavericks","Josh Richardson","17:05","3","5",".600","1","3",".333","1","1","1.000","0","3","3","0","0","0","1","1","8","0"
"2","Dallas Mavericks","Nicolò Melli","9:01","0","1",".000","0","0","","0","0","","2","2","4","0","0","0","0","1","0","-8"
"2","Dallas Mavericks","Dwight Powell","7:27","0","1",".000","0","0","","0","0","","1","1","2","1","0","0","0","0","0","-1"
"2","Dallas Mavericks","Willie Cauley-Stein","4:08","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-4"
"2","Dallas Mavericks","Josh Green","Did Not Play",,,,,,,,,,,,,,,,,,,
"2","Dallas Mavericks","Nate Hinton","Did Not Play",,,,,,,,,,,,,,,,,,,
"2","Dallas Mavericks","Trey Burke","Did Not Play",,,,,,,,,,,,,,,,,,,
"2","Dallas Mavericks","Tyler Bey","Did Not Play",,,,,,,,,,,,,,,,,,,
"2","Dallas Mavericks","Boban Marjanović","Did Not Play",,,,,,,,,,,,,,,,,,,
"2","Los Angeles Clippers","Kawhi Leonard","40:46","9","22",".409","1","6",".167","7","9",".778","2","8","10","5","4","0","0","2","26","-15"
"2","Los Angeles Clippers","Paul George","39:56","8","18",".444","2","8",".250","5","5","1.000","3","3","6","5","1","0","3","4","23","-6"
"2","Los Angeles Clippers","Marcus Morris","32:39","2","8",".250","0","6",".000","0","2",".000","1","1","2","1","0","2","0","2","4","-23"
"2","Los Angeles Clippers","Ivica Zubac","19:26","4","5",".800","0","0","","0","0","","2","1","3","0","0","0","0","2","8","-13"
